Time,No,MAC,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,No,MAC,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,No,MAC,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ
2023-02-28T01:05:22.813,0.0,C6:0D:F0:B1:3A:9F,0.989,0.046,-0.063,2.747,2.747,-1.038,137.258,-84.512,-11.354,1.0,D8:7B:AD:C1:D5:81,0.979,0.139,0.125,1.892,1.892,-0.427,47.307,-79.129,-57.079,2.0,E7:C9:DF:95:3F:6D,0.863,0.498,-0.140,1.465,1.465,0.793,105.024,-60.145,-65.187
2023-02-28T01:05:22.925,0.0,C6:0D:F0:B1:3A:9F,0.996,0.071,-0.062,2.258,2.258,-1.465,137.631,-84.364,-12.025,1.0,D8:7B:AD:C1:D5:81,0.987,0.135,0.140,0.916,0.916,0.305,47.763,-79.151,-57.321,2.0,E7:C9:DF:95:3F:6D,0.861,0.488,-0.139,1.038,1.038,2.075,105.018,-60.293,-64.737
2023-02-28T01:05:23.015,0.0,C6:0D:F0:B1:3A:9F,0.989,0.081,-0.075,-0.183,-0.183,-1.038,138.131,-84.122,-12.827,1.0,D8:7B:AD:C1:D5:81,0.991,0.156,0.139,0.000,0.000,0.916,47.346,-79.178,-56.810,2.0,E7:C9:DF:95:3F:6D,0.867,0.476,-0.131,0.366,0.366,3.357,104.837,-60.612,-64.270
2023-02-28T01:05:23.128,0.0,C6:0D:F0:B1:3A:9F,0.995,0.077,-0.075,0.549,0.549,-0.977,138.340,-83.958,-13.266,1.0,D8:7B:AD:C1:D5:81,0.985,0.137,0.116,-0.671,-0.671,0.366,46.862,-79.162,-56.382,2.0,E7:C9:DF:95:3F:6D,0.860,0.474,-0.127,-0.366,-0.366,3.479,104.480,-60.980,-63.792
2023-02-28T01:05:23.218,0.0,C6:0D:F0:B1:3A:9F,0.978,0.071,-0.090,-1.282,-1.282,-1.770,138.027,-83.793,-13.217,1.0,D8:7B:AD:C1:D5:81,0.986,0.153,0.128,0.488,0.488,0.366,46.835,-79.178,-56.288,2.0,E7:C9:DF:95:3F:6D,0.873,0.463,-0.133,-4.089,-4.089,3.601,104.008,-61.287,-63.182
2023-02-28T01:05:23.375,0.0,C6:0D:F0:B1:3A:9F,0.977,0.057,-0.083,0.122,0.122,-4.333,136.994,-83.507,-12.590,1.0,D8:7B:AD:C1:D5:81,0.966,0.121,0.129,-3.357,-3.357,-1.282,46.972,-79.118,-56.514,2.0,E7:C9:DF:95:3F:6D,0.880,0.451,-0.103,-4.333,-4.333,10.925,102.579,-62.726,-62.089
2023-02-28T01:05:23.420,0.0,C6:0D:F0:B1:3A:9F,1.000,0.087,-0.078,4.761,4.761,-6.958,136.088,-82.908,-11.821,1.0,D8:7B:AD:C1:D5:81,0.981,0.103,0.147,-2.319,-2.319,0.183,46.659,-79.058,-56.547,2.0,E7:C9:DF:95:3F:6D,0.880,0.451,-0.103,-4.333,-4.333,10.925,102.579,-62.726,-62.089
2023-02-28T01:05:23.533,0.0,C6:0D:F0:B1:3A:9F,0.984,0.115,-0.095,4.578,4.578,-7.568,135.654,-82.018,-11.118,1.0,D8:7B:AD:C1:D5:81,0.997,0.124,0.156,2.502,2.502,2.747,44.456,-78.948,-54.212,2.0,E7:C9:DF:95:3F:6D,0.873,0.419,-0.109,-4.272,-4.272,15.076,101.234,-64.133,-61.029
2023-02-28T01:05:23.623,0.0,C6:0D:F0:B1:3A:9F,0.992,0.126,-0.104,4.272,4.272,-5.676,135.544,-81.145,-10.602,1.0,D8:7B:AD:C1:D5:81,0.986,0.154,0.136,6.958,6.958,1.709,42.325,-78.723,-51.443,2.0,E7:C9:DF:95:3F:6D,0.892,0.409,-0.103,-0.366,-0.366,13.428,100.701,-65.550,-60.403
2023-02-28T01:05:23.758,0.0,C6:0D:F0:B1:3A:9F,0.977,0.137,-0.124,-0.793,-0.793,-1.160,135.346,-80.662,-10.256,1.0,D8:7B:AD:C1:D5:81,0.982,0.181,0.123,-2.319,-2.319,0.610,40.743,-78.278,-48.609,2.0,E7:C9:DF:95:3F:6D,0.911,0.388,-0.057,-6.042,-6.042,5.310,99.943,-67.203,-60.029
